Calendar Day,Group,Division,Business Unit,Gross Order $
02/25/2018,Power Systems,Switching Fusing,Switching & Fusing,2340258.76
02/25/2018,Power Systems,Tools and Equipment,Tools and Equipment,1175747.21
02/25/2018,Power Systems,Total Bushings,Bushings,775992.03
02/25/2018,Power Systems,Utility Automation,Utility Automation,650260.53
03/04/2018,Commercial & Industrial,ACME,ACME,827934.91
03/04/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,530921.99
03/04/2018,Commercial & Industrial,Hipotronics,Hipotronics,596240.58
03/04/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1639534.45
03/04/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4582979.21
03/04/2018,Commercial & Industrial,WBP,Bryant Electric,464716.7
03/04/2018,Commercial & Industrial,WBP,Premise Wiring,1307417.66
03/04/2018,Commercial & Industrial,WBP,WDK,8856444.11
03/04/2018,Commercial & Industrial,Wiegmann,Wiegmann,1107982.51
03/04/2018,Construction & Energy,Burndy - US,Burndy - US,6105866.5
03/04/2018,Construction & Energy,CMC,CMC,1511290.91
03/04/2018,Construction & Energy,Continental Industries,Continental Industries,0
03/04/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,290058.01
03/04/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,730797.06
03/04/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/04/2018,Construction & Energy,Hawke - UK,Hawke - UK,917026.67
03/04/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2889044.86
03/04/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,1147658.21
03/04/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,521898.02
03/04/2018,Construction & Energy,Killark,Killark,1778559.63
03/04/2018,Hubbell Lighting,C & I,AAL,544861.64
03/04/2018,Hubbell Lighting,C & I,Alera,53767.2
03/04/2018,Hubbell Lighting,C & I,Beacon,1587253.6
03/04/2018,Hubbell Lighting,C & I,Columbia,5418859.41
03/04/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,665311.86
03/04/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,917030.94
03/04/2018,Hubbell Lighting,C & I,Industrial Lighting,486652.76
03/04/2018,Hubbell Lighting,C & I,Kim,622840.44
03/04/2018,Hubbell Lighting,C & I,Kurt Versen,127587.31
