Work Day,Group,Division,Actual $
01/12/2018,Commercial & Industrial,WBP,1473892
01/12/2018,Commercial & Industrial,Wiegmann,123116
01/12/2018,Construction & Energy,Austdac,32874
01/12/2018,Construction & Energy,Burndy - US,818856
01/12/2018,Construction & Energy,CMC,131177
01/12/2018,Construction & Energy,Continental Industries,1190000
01/12/2018,Construction & Energy,GAI-Tronics - UK,83574
01/12/2018,Construction & Energy,GAI-Tronics - US,82721
01/12/2018,Construction & Energy,Gai-Tronics - Italy,-66800
01/12/2018,Construction & Energy,Hawke - UK,342432
01/12/2018,Construction & Energy,Hubbell Canada,330439
01/12/2018,Construction & Energy,Hubbell Products Mexico,39903
01/12/2018,Construction & Energy,Hubbell Scotland,1271264
01/12/2018,Construction & Energy,Killark,345643
01/12/2018,Construction & Energy,Lyall,544000
01/12/2018,Hubbell Lighting,C & I,1765762
01/12/2018,Hubbell Lighting,Residential,679020
01/12/2018,Integrated Solutions,Integrated Solutions,13035
01/12/2018,Power Systems,Aiken - Arresters,346873
01/12/2018,Power Systems,Aiken - Cable Acc,123211
01/12/2018,Power Systems,Aiken - Insulator,168349
01/12/2018,Power Systems,Civil & Construction,1033775
01/12/2018,Power Systems,Connectors,602094
01/12/2018,Power Systems,EMC,73107
01/12/2018,Power Systems,Enclosures,922914
01/12/2018,Power Systems,HPS Brazil,878238
01/12/2018,Power Systems,HPS China,14006
01/12/2018,Power Systems,Switching Fusing,566325
01/12/2018,Power Systems,Tools and Equipment,281034
01/12/2018,Power Systems,Total Bushings,192428
01/12/2018,Power Systems,Utility Automation,217401
01/15/2018,Commercial & Industrial,ACME,501658
01/15/2018,Commercial & Industrial,Gleason Reel,95309
01/15/2018,Commercial & Industrial,Haefely,344982
01/15/2018,Commercial & Industrial,Hipotronics,138751
01/15/2018,Commercial & Industrial,Industrial Controls,300145
01/15/2018,Commercial & Industrial,Raco/TayMac,1064725
01/15/2018,Commercial & Industrial,WBP,311150
01/15/2018,Commercial & Industrial,Wiegmann,148236
01/15/2018,Construction & Energy,Austdac,31103
01/15/2018,Construction & Energy,Burndy - US,742840
01/15/2018,Construction & Energy,CMC,163540
01/15/2018,Construction & Energy,Continental Industries,182000
01/15/2018,Construction & Energy,GAI-Tronics - UK,106544
01/15/2018,Construction & Energy,GAI-Tronics - US,85565
01/15/2018,Construction & Energy,Hawke - UK,161
01/15/2018,Construction & Energy,Hubbell Canada,273573
01/15/2018,Construction & Energy,Hubbell Products Mexico,115757
01/15/2018,Construction & Energy,Hubbell Scotland,5526
01/15/2018,Construction & Energy,Killark,330636
01/15/2018,Construction & Energy,Lyall,259000
01/15/2018,Hubbell Lighting,C & I,1878153
01/15/2018,Hubbell Lighting,Residential,777129
01/15/2018,Integrated Solutions,Integrated Solutions,844
01/15/2018,Power Systems,Aiken - Arresters,245757
01/15/2018,Power Systems,Aiken - Cable Acc,96185
01/15/2018,Power Systems,Aiken - Insulator,66921
01/15/2018,Power Systems,Civil & Construction,484343
01/15/2018,Power Systems,Connectors,651706
01/15/2018,Power Systems,EMC,212252
01/15/2018,Power Systems,Enclosures,528370
01/15/2018,Power Systems,HPS Brazil,192000
01/15/2018,Power Systems,HPS China,1452
01/15/2018,Power Systems,Switching Fusing,287474
01/15/2018,Power Systems,Tools and Equipment,554476
01/15/2018,Power Systems,Total Bushings,185710
01/15/2018,Power Systems,Utility Automation,93101
01/16/2018,Commercial & Industrial,ACME,176180
01/16/2018,Commercial & Industrial,Gleason Reel,185560
01/16/2018,Commercial & Industrial,Haefely,125270
01/16/2018,Commercial & Industrial,Hipotronics,4778
01/16/2018,Commercial & Industrial,Industrial Controls,174677
01/16/2018,Commercial & Industrial,Raco/TayMac,573373
01/16/2018,Commercial & Industrial,WBP,2776584
01/16/2018,Commercial & Industrial,Wiegmann,162165
01/16/2018,Construction & Energy,Austdac,38837
01/16/2018,Construction & Energy,Burndy - US,1070155
01/16/2018,Construction & Energy,CMC,163154
01/16/2018,Construction & Energy,Continental Industries,65000
01/16/2018,Construction & Energy,GAI-Tronics - UK,66922
