Calendar Day,Group,Profit Center Group,Gross Order $
01/21/2018,Power Systems,URD Arresters,142489.77
01/21/2018,Power Systems,Utility Anchors,1368472.63
01/28/2018,Commercial & Industrial,ACME,759087.32
01/28/2018,Commercial & Industrial,Bryant Electric,440700.2
01/28/2018,Commercial & Industrial,Gleason Reel,704876.98
01/28/2018,Commercial & Industrial,Hipotronics,85454.18
01/28/2018,Commercial & Industrial,ICD,1363518.98
01/28/2018,Commercial & Industrial,Premise Wiring,1040727.32
01/28/2018,Commercial & Industrial,RACO,4056958.23
01/28/2018,Commercial & Industrial,WDK,8049330.32
01/28/2018,Commercial & Industrial,Wiegmann,1012680.86
01/28/2018,Construction & Energy,Burndy - MX,610519.18
01/28/2018,Construction & Energy,Burndy - US,5327330.09
01/28/2018,Construction & Energy,CMC,891275.04
01/28/2018,Construction & Energy,Continental Industries,0
01/28/2018,Construction & Energy,GAI-Tronics - US,1350574.37
01/28/2018,Construction & Energy,Gai-Tronics Italy,-183033.6
01/28/2018,Construction & Energy,GAI-Tronics UK,366834.62
01/28/2018,Construction & Energy,Hawke - UK,612325.11
01/28/2018,Construction & Energy,Hawke - US,163793.09
01/28/2018,Construction & Energy,Hubbell Canada,3060319.39
01/28/2018,Construction & Energy,Hubbell Scotland,512244.63
01/28/2018,Construction & Energy,Killark,1411107.14
01/28/2018,Construction & Energy,RigPower Connectors,93841.24
01/28/2018,Hubbell Lighting,AAL,428541.73
01/28/2018,Hubbell Lighting,Alera,140179.4
01/28/2018,Hubbell Lighting,Beacon,1229411.23
01/28/2018,Hubbell Lighting,Columbia,3958675.48
01/28/2018,Hubbell Lighting,Dual-Lite,1356246.7
01/28/2018,Hubbell Lighting,Hubbell Control Solutions,704594.93
01/28/2018,Hubbell Lighting,Industrial Lighting,428013.51
01/28/2018,Hubbell Lighting,Kim,856003
01/28/2018,Hubbell Lighting,Kurt Versen,237648.03
01/28/2018,Hubbell Lighting,Litecontrol,724098.93
01/28/2018,Hubbell Lighting,Norlux,706194.33
01/28/2018,Hubbell Lighting,Outdoor,1254354.64
01/28/2018,Hubbell Lighting,P2,0
01/28/2018,Hubbell Lighting,Prescolite,923987.38
01/28/2018,Hubbell Lighting,Progress Lighting,4723574.16
01/28/2018,Hubbell Lighting,Security Lighting,214811.24
01/28/2018,Hubbell Lighting,Thomas,176742.58
01/28/2018,Power Systems,Above Ground,178284.15
01/28/2018,Power Systems,Blocks,4887
01/28/2018,Power Systems,Civil,489873.51
01/28/2018,Power Systems,Cutouts  Polymer,579089.33
01/28/2018,Power Systems,Cutouts  Porcelain,315610.96
01/28/2018,Power Systems,Dist Automation,332664.02
01/28/2018,Power Systems,Distribution Arresters,789844.08
01/28/2018,Power Systems,Distribution Connectors,1601672.98
01/28/2018,Power Systems,Distribution Insulators,239358.97
01/28/2018,Power Systems,Drain,38995.54
01/28/2018,Power Systems,Electro Composites,345297.73
01/28/2018,Power Systems,Fiber & Cable Accessories,138469.4
01/28/2018,Power Systems,Fiber Splice Products,20945.46
01/28/2018,Power Systems,Fiberglass Construction,212707.02
01/28/2018,Power Systems,Fuse Links,74368.63
01/28/2018,Power Systems,Gloves,45628.28
01/28/2018,Power Systems,HotBox,134630.06
01/28/2018,Power Systems,HPS Shanghai,341340.55
01/28/2018,Power Systems,OVHD Switches,410506.03
01/28/2018,Power Systems,PCORE,1118295
01/28/2018,Power Systems,PenCell,628627.51
01/28/2018,Power Systems,Pole Line Hardware,1246107.52
01/28/2018,Power Systems,Power Load,97516.85
01/28/2018,Power Systems,Resale,272290.09
01/28/2018,Power Systems,Reuel,95392.55
01/28/2018,Power Systems,Sub Automation,166443.25
01/28/2018,Power Systems,Substation Connectors,373608.92
01/28/2018,Power Systems,Substation HC Arresters,-238890.31
01/28/2018,Power Systems,Substation SC Arresters,277158.95
01/28/2018,Power Systems,Substation Switches,408327.83
01/28/2018,Power Systems,Traditional Tools,663877.55
01/28/2018,Power Systems,Transmission Arresters,124479.45
01/28/2018,Power Systems,Transmission Connectors,838035.65
01/28/2018,Power Systems,Transmission Insulators,506919.46
01/28/2018,Power Systems,Turner Electric,434327.44
01/28/2018,Power Systems,Under Ground,1650657.77
01/28/2018,Power Systems,URD Accessories,240903.74
01/28/2018,Power Systems,URD Arresters,87088.07
01/28/2018,Power Systems,Utility Anchors,1112246.93
02/04/2018,Commercial & Industrial,ACME,921245.36
02/04/2018,Commercial & Industrial,Bryant Electric,299599.3
02/04/2018,Commercial & Industrial,Gleason Reel,647123.42
02/04/2018,Commercial & Industrial,Hipotronics,223916.41
02/04/2018,Commercial & Industrial,ICD,1251772.57
02/04/2018,Commercial & Industrial,Premise Wiring,1397415.78
02/04/2018,Commercial & Industrial,RACO,4309551.46
02/04/2018,Commercial & Industrial,WDK,8165036.25
02/04/2018,Commercial & Industrial,Wiegmann,950684.14
02/04/2018,Construction & Energy,Burndy - MX,879612.34
02/04/2018,Construction & Energy,Burndy - US,5313522.27
02/04/2018,Construction & Energy,CMC,1555571.08
02/04/2018,Construction & Energy,Continental Industries,0
02/04/2018,Construction & Energy,GAI-Tronics - US,1315523.97
02/04/2018,Construction & Energy,Gai-Tronics Italy,48775.45
02/04/2018,Construction & Energy,GAI-Tronics UK,851629.63
02/04/2018,Construction & Energy,Hawke - UK,242038.02
02/04/2018,Construction & Energy,Hawke - US,160651.86
02/04/2018,Construction & Energy,Hubbell Canada,2423320.58
02/04/2018,Construction & Energy,Hubbell Scotland,643523.78
02/04/2018,Construction & Energy,Killark,1352277.67
02/04/2018,Construction & Energy,RigPower Connectors,15816
02/04/2018,Hubbell Lighting,AAL,510354.21
02/04/2018,Hubbell Lighting,Alera,142026.25
02/04/2018,Hubbell Lighting,Beacon,1269586.18
02/04/2018,Hubbell Lighting,Columbia,6662055.35
02/04/2018,Hubbell Lighting,Dual-Lite,1255626.83
02/04/2018,Hubbell Lighting,Hubbell Control Solutions,651549.37
02/04/2018,Hubbell Lighting,Industrial Lighting,329446.76
02/04/2018,Hubbell Lighting,Kim,557741.07
02/04/2018,Hubbell Lighting,Kurt Versen,77310
02/04/2018,Hubbell Lighting,Litecontrol,592532.3
02/04/2018,Hubbell Lighting,Norlux,314533.25
02/04/2018,Hubbell Lighting,Outdoor,1498637.87
02/04/2018,Hubbell Lighting,P2,0
02/04/2018,Hubbell Lighting,Prescolite,1617195.11
02/04/2018,Hubbell Lighting,Progress Lighting,6949729.77
02/04/2018,Hubbell Lighting,Security Lighting,233508.44
02/04/2018,Hubbell Lighting,Thomas,253103.19
02/04/2018,Power Systems,Above Ground,214296.68
02/04/2018,Power Systems,Blocks,892.8
02/04/2018,Power Systems,Civil,760520.73
02/04/2018,Power Systems,Cutouts  Polymer,646783.59
02/04/2018,Power Systems,Cutouts  Porcelain,302646.47
02/04/2018,Power Systems,Dist Automation,1045726.88
02/04/2018,Power Systems,Distribution Arresters,696852.38
02/04/2018,Power Systems,Distribution Connectors,1901053.6
02/04/2018,Power Systems,Distribution Insulators,175630.64
02/04/2018,Power Systems,Drain,42547.76
02/04/2018,Power Systems,Electro Composites,84280.28
02/04/2018,Power Systems,Fiber & Cable Accessories,84072.89
02/04/2018,Power Systems,Fiber Splice Products,36526.66
02/04/2018,Power Systems,Fiberglass Construction,166369.13
02/04/2018,Power Systems,Fuse Links,80065.46
02/04/2018,Power Systems,Gloves,209188.55
02/04/2018,Power Systems,HotBox,91494.77
02/04/2018,Power Systems,HPS Shanghai,24552.05
02/04/2018,Power Systems,OVHD Switches,492655.91
02/04/2018,Power Systems,PCORE,1169232
02/04/2018,Power Systems,PenCell,431996.3
02/04/2018,Power Systems,Pole Line Hardware,1499807.98
02/04/2018,Power Systems,Power Load,50748.58
02/04/2018,Power Systems,Resale,369196.77
02/04/2018,Power Systems,Reuel,114119.16
02/04/2018,Power Systems,Sub Automation,641417.15
02/04/2018,Power Systems,Substation Connectors,378532.62
02/04/2018,Power Systems,Substation HC Arresters,332686.65
02/04/2018,Power Systems,Substation SC Arresters,253899.17
02/04/2018,Power Systems,Substation Switches,153806.07
02/04/2018,Power Systems,Traditional Tools,1026456.76
02/04/2018,Power Systems,Transmission Arresters,75516.65
02/04/2018,Power Systems,Transmission Connectors,1298452.48
02/04/2018,Power Systems,Transmission Insulators,652920.87
02/04/2018,Power Systems,Turner Electric,546152.68
02/04/2018,Power Systems,Under Ground,3223185.18
02/04/2018,Power Systems,URD Accessories,454391.45
02/04/2018,Power Systems,URD Arresters,155200.37
02/04/2018,Power Systems,Utility Anchors,1527742.89
02/11/2018,Commercial & Industrial,ACME,892282.71
02/11/2018,Commercial & Industrial,Bryant Electric,640701.68
02/11/2018,Commercial & Industrial,Gleason Reel,697544.67
02/11/2018,Commercial & Industrial,Hipotronics,175741.05
02/11/2018,Commercial & Industrial,ICD,1254898.18
02/11/2018,Commercial & Industrial,Premise Wiring,1063284.26
02/11/2018,Commercial & Industrial,RACO,4393817.55
02/11/2018,Commercial & Industrial,WDK,7290288.69
02/11/2018,Commercial & Industrial,Wiegmann,936646.31
02/11/2018,Construction & Energy,Burndy - MX,926338.18
02/11/2018,Construction & Energy,Burndy - US,5668874.69
02/11/2018,Construction & Energy,CMC,1424760.14
02/11/2018,Construction & Energy,Continental Industries,0
02/11/2018,Construction & Energy,GAI-Tronics - US,1816271.12
02/11/2018,Construction & Energy,Gai-Tronics Italy,-11800
02/11/2018,Construction & Energy,GAI-Tronics UK,233429.95
02/11/2018,Construction & Energy,Hawke - UK,627885.36
02/11/2018,Construction & Energy,Hawke - US,165844.73
02/11/2018,Construction & Energy,Hubbell Canada,2663955.5
02/11/2018,Construction & Energy,Hubbell Scotland,988524.12
02/11/2018,Construction & Energy,Killark,1744174.75
02/11/2018,Construction & Energy,RigPower Connectors,32282.7
02/11/2018,Hubbell Lighting,AAL,378990.79
02/11/2018,Hubbell Lighting,Alera,304281.2
02/11/2018,Hubbell Lighting,Beacon,1438324.25
02/11/2018,Hubbell Lighting,Columbia,14514182.05
02/11/2018,Hubbell Lighting,Dual-Lite,1116629.76
02/11/2018,Hubbell Lighting,Hubbell Control Solutions,833038.11
02/11/2018,Hubbell Lighting,Industrial Lighting,260225.27
02/11/2018,Hubbell Lighting,Kim,748823.26
02/11/2018,Hubbell Lighting,Kurt Versen,50118
02/11/2018,Hubbell Lighting,Litecontrol,678817.29
02/11/2018,Hubbell Lighting,Norlux,314277.94
02/11/2018,Hubbell Lighting,Outdoor,1093888.4
02/11/2018,Hubbell Lighting,P2,0
02/11/2018,Hubbell Lighting,Prescolite,1124531.32
02/11/2018,Hubbell Lighting,Progress Lighting,4711354.52
