Calendar Day,Group,Company Code,Gross Order $
03/25/2018,Commercial & Industrial,C715,526758.86
03/25/2018,Hubbell Lighting,C520,5255736.64
03/25/2018,Hubbell Lighting,C550,537527.16
03/25/2018,Construction & Energy,C400,1644662.86
03/25/2018,Power Systems,C625,14416.30
03/25/2018,Commercial & Industrial,C750,757725.38
03/25/2018,Construction & Energy,C366,2803555.14
03/25/2018,Power Systems,C610,16158523.20
03/25/2018,Power Systems,C640,3725881.94
03/25/2018,Construction & Energy,C792,0.00
03/25/2018,Power Systems,C627,0.00
03/25/2018,Power Systems,C650,1004593.76
03/25/2018,Commercial & Industrial,C400,6708490.12
03/25/2018,Construction & Energy,C351,2728272.82
03/25/2018,Commercial & Industrial,C710,147656.53
03/25/2018,Construction & Energy,C360,5264559.98
03/25/2018,Construction & Energy,C794,303887.03
03/25/2018,Power Systems,C660,51293.80
03/25/2018,Construction & Energy,C362,1219117.89
03/25/2018,Construction & Energy,C450,453258.70
04/01/2018,Commercial & Industrial,C715,1563023.84
04/01/2018,Commercial & Industrial,C750,602840.05
04/01/2018,Power Systems,C650,874981.30
04/01/2018,Construction & Energy,C362,680209.95
04/01/2018,Hubbell Lighting,C520,5626004.50
04/01/2018,Power Systems,C610,15046101.51
04/01/2018,Power Systems,C627,1979279.36
04/01/2018,Construction & Energy,C400,1531943.15
04/01/2018,Construction & Energy,C360,5197819.22
04/01/2018,Hubbell Lighting,C550,1532176.65
04/01/2018,Hubbell Lighting,C510,12473163.73
04/01/2018,Power Systems,C640,4022219.99
04/01/2018,Construction & Energy,C450,661358.43
04/01/2018,Construction & Energy,C720,1554208.46
04/01/2018,Commercial & Industrial,C740,1358135.18
04/01/2018,Construction & Energy,C460,1042729.31
04/01/2018,Commercial & Industrial,C300,10365058.89
04/01/2018,Construction & Energy,C351,3470667.39
04/01/2018,Power Systems,C615,48901.33
04/01/2018,Power Systems,C625,45294.28
04/01/2018,Construction & Energy,C366,827145.04
04/01/2018,Construction & Energy,C794,244283.06
04/01/2018,Construction & Energy,C792,0.00
04/01/2018,Power Systems,C660,2466.00
04/01/2018,Commercial & Industrial,C400,7824566.41
04/01/2018,Commercial & Industrial,C710,293716.90
04/08/2018,Hubbell Lighting,C510,11747704.35
04/08/2018,Power Systems,C650,1030622.08
04/08/2018,Hubbell Lighting,C550,1674932.31
04/08/2018,Power Systems,C625,56959.46
04/08/2018,Power Systems,C640,4732337.64
04/08/2018,Construction & Energy,C460,177682.77
04/08/2018,Power Systems,C610,14531210.80
04/08/2018,Construction & Energy,C351,2632426.54
04/08/2018,Hubbell Lighting,C520,5651385.81
04/08/2018,Construction & Energy,C720,709960.63
04/08/2018,Construction & Energy,C366,1650836.73
04/08/2018,Construction & Energy,C360,5806390.66
04/08/2018,Construction & Energy,C400,1721245.36
04/08/2018,Commercial & Industrial,C750,750417.25
04/08/2018,Commercial & Industrial,C300,9885854.88
04/08/2018,Construction & Energy,C450,830296.86
04/08/2018,Construction & Energy,C792,-84.35
04/08/2018,Commercial & Industrial,C715,127800.48
04/08/2018,Construction & Energy,C362,290045.17
04/08/2018,Power Systems,C660,195269.89
04/08/2018,Commercial & Industrial,C710,107739.61
04/08/2018,Construction & Energy,C794,424484.87
04/08/2018,Power Systems,C627,589399.04
04/08/2018,Commercial & Industrial,C740,1145677.16
04/08/2018,Power Systems,C615,193.60
04/08/2018,Commercial & Industrial,C400,6768229.75
04/15/2018,Construction & Energy,C460,183723.86
04/15/2018,Power Systems,C610,15681264.01
04/15/2018,Construction & Energy,C450,806555.62
04/15/2018,Commercial & Industrial,C300,10970573.70
04/15/2018,Commercial & Industrial,C715,172090.89
04/15/2018,Construction & Energy,C400,2309159.62
04/15/2018,Construction & Energy,C366,1385278.68
04/15/2018,Power Systems,C615,468506.19
04/15/2018,Hubbell Lighting,C550,711427.25
04/15/2018,Construction & Energy,C351,2625864.96
04/15/2018,Power Systems,C650,850866.39
04/15/2018,Construction & Energy,C794,1666240.67
04/15/2018,Commercial & Industrial,C400,6540757.66
04/15/2018,Construction & Energy,C792,0.00
04/15/2018,Commercial & Industrial,C710,318150.93
04/15/2018,Construction & Energy,C362,551059.27
04/15/2018,Construction & Energy,C360,5374861.75
04/15/2018,Power Systems,C627,286383.46
04/15/2018,Commercial & Industrial,C750,626234.84
04/15/2018,Hubbell Lighting,C510,13395782.56
04/15/2018,Construction & Energy,C720,911765.42
04/15/2018,Hubbell Lighting,C520,5409884.06
04/15/2018,Power Systems,C625,78845.23
04/15/2018,Power Systems,C660,0.00
04/15/2018,Power Systems,C640,3280419.15
04/15/2018,Commercial & Industrial,C740,1790529.55
04/22/2018,Power Systems,C625,16409.17
04/22/2018,Construction & Energy,C360,5891880.90
04/22/2018,Construction & Energy,C400,1823983.86
04/22/2018,Commercial & Industrial,C300,10018481.57
04/22/2018,Power Systems,C615,55127.16
04/22/2018,Construction & Energy,C450,590110.23
04/22/2018,Power Systems,C610,15736459.44
04/22/2018,Construction & Energy,C460,796688.47
04/22/2018,Hubbell Lighting,C550,564312.55
04/22/2018,Construction & Energy,C351,2417696.58
04/22/2018,Hubbell Lighting,C520,5508013.35
04/22/2018,Construction & Energy,C720,950717.98
04/22/2018,Hubbell Lighting,C510,13883117.08
04/22/2018,Commercial & Industrial,C750,614068.81
04/22/2018,Construction & Energy,C792,289.45
04/22/2018,Commercial & Industrial,C400,6658023.22
04/22/2018,Commercial & Industrial,C740,942635.65
04/22/2018,Power Systems,C627,191308.47
04/22/2018,Power Systems,C660,62395.96
04/22/2018,Construction & Energy,C794,474587.10
04/22/2018,Power Systems,C640,3614359.68
04/22/2018,Power Systems,C650,1050295.31
04/22/2018,Construction & Energy,C362,548766.54
04/22/2018,Commercial & Industrial,C710,198669.73
04/22/2018,Commercial & Industrial,C715,132716.60
04/22/2018,Construction & Energy,C366,1381263.23
04/29/2018,Construction & Energy,C366,1004620.82
04/29/2018,Commercial & Industrial,C300,10747154.92
04/29/2018,Power Systems,C615,184488.02
04/29/2018,Construction & Energy,C794,355744.04
04/29/2018,Power Systems,C640,4165498.42
04/29/2018,Construction & Energy,C450,369602.77
04/29/2018,Power Systems,C625,52225.32
04/29/2018,Power Systems,C610,17064165.28
04/29/2018,Power Systems,C650,636478.80
04/29/2018,Construction & Energy,C460,621132.06
04/29/2018,Hubbell Lighting,C550,538103.28
04/29/2018,Power Systems,C660,173613.60
04/29/2018,Construction & Energy,C400,2430143.15
04/29/2018,Construction & Energy,C370,15935.64
04/29/2018,Commercial & Industrial,C715,1187261.31
04/29/2018,Construction & Energy,C360,6445852.71
04/29/2018,Construction & Energy,C351,2344359.56
04/29/2018,Hubbell Lighting,C520,6393371.10
04/29/2018,Commercial & Industrial,C400,7451561.72
04/29/2018,Power Systems,C627,60229.41
04/29/2018,Construction & Energy,C792,0.00
04/29/2018,Commercial & Industrial,C710,306845.54
04/29/2018,Construction & Energy,C362,708252.39
04/29/2018,Hubbell Lighting,C510,14068547.47
04/29/2018,Commercial & Industrial,C750,827947.52
04/29/2018,Commercial & Industrial,C740,1672256.23
04/29/2018,Construction & Energy,C720,1089954.65
05/06/2018,Construction & Energy,C794,340499.40
05/06/2018,Power Systems,C660,66656.63
05/06/2018,Commercial & Industrial,C400,7123747.65
05/06/2018,Power Systems,C640,3999540.79
05/06/2018,Power Systems,C615,167181.60
05/06/2018,Commercial & Industrial,C710,235759.55
05/06/2018,Commercial & Industrial,C715,187924.33
05/06/2018,Construction & Energy,C792,0.00
05/06/2018,Commercial & Industrial,C300,10314110.61
05/06/2018,Construction & Energy,C460,220794.40
05/06/2018,Commercial & Industrial,C740,1312508.76
05/06/2018,Construction & Energy,C351,2851026.69
05/06/2018,Commercial & Industrial,C750,556509.97
05/06/2018,Hubbell Lighting,C520,5346495.75
05/06/2018,Construction & Energy,C450,522741.68
05/06/2018,Power Systems,C610,15900795.87
05/06/2018,Construction & Energy,C362,564847.71
05/06/2018,Construction & Energy,C720,783392.69
05/06/2018,Hubbell Lighting,C510,17447329.35
05/06/2018,Hubbell Lighting,C550,1061670.38
05/06/2018,Construction & Energy,C366,1395718.31
05/06/2018,Power Systems,C650,1220491.64
05/06/2018,Power Systems,C627,19144.22
05/06/2018,Power Systems,C625,22917.28
05/06/2018,Construction & Energy,C370,8786873.33
05/06/2018,Construction & Energy,C360,5952892.86
05/06/2018,Construction & Energy,C400,1533248.72
05/13/2018,Construction & Energy,C720,808543.70
05/13/2018,Power Systems,C660,130564.31
05/13/2018,Power Systems,C610,20723366.35
05/13/2018,Construction & Energy,C366,1410645.53
05/13/2018,Commercial & Industrial,C715,228689.74
05/13/2018,Construction & Energy,C370,1799360.35
05/13/2018,Hubbell Lighting,C550,827171.95
